-0.016659473,-112.6240906
-0.016221592,-112.8811315
-0.015837229,-113.0096519
-0.015423674,-113.2238526
-0.015010119,-113.4380533
-0.014572237,-113.652254
-0.014085702,-113.8664547
-0.013599167,-113.8664547
-0.013088305,-114.2948561
-0.012528789,-114.5090568
-0.011969274,-114.9374582
-0.011409758,-115.3658596
-0.01087457,-115.794261
-0.010290727,-116.2226624
-0.009779866,-116.6510638
-0.00929333,-117.7220673
-0.008758142,-118.5788702
-0.008295933,-119.8640744
-0.007955358,-121.57768
-0.007590457,-123.5054863
-0.007201229,-125.861694
-0.006860654,-126.9326975
-0.006617387,-128.0037011
-0.006349792,-128.6463032
-0.006057871,-128.8605039
-0.005814604,-128.4321025
-0.005547009,-127.7895004
-0.005303742,-127.1468982
-0.005084801,-125.861694
-0.00486586,-124.3622891
-0.004646919,-122.4344828
-0.004452305,-120.5066765
-0.004282018,-118.7930709
-0.004087404,-116.2226624
-0.003941443,-113.2238526
-0.003673849,-108.9398386
-0.003454908,-105.0842259
-0.00321164,-101.2286133
-0.00306568,-96.73039853
-0.002846739,-91.80378238
-0.002627798,-86.44876483
-0.002408857,-81.09374727
-0.002214243,-76.16713112
-0.002068282,-71.66891638
-0.001873668,-66.52809952
-0.001727708,-61.60148337
-0.001557421,-55.81806442
-0.001387133,-49.60624405
-0.001216846,-43.60862439
-0.001046559,-37.39680403
-0.000876271,-31.82758577
-0.000730311,-26.04416681
-0.000560023,-20.47494855
-0.000389736,-14.9057303
-0.000219449,-8.693909934
0,0
